household_id,surface_type,room_size,dirtiness_level,cleaning_time,cleaning_efficiency,date_time
0,Tile,33,3,17,1.41,2023-07-23 21:01:08
1,Carpet,23,4,23,1.11,2023-07-21 16:05:03
2,Carpet,30,2,17,1.26,2023-07-21 10:44:45
3,Tile,27,2,26,1.31,2023-07-20 22:35:36
4,Carpet,40,1,15,1.58,2023-07-21 15:24:15
5,Wood,22,5,28,0.7,2023-07-22 22:53:27
6,Wood,23,3,29,0.74,2023-07-22 16:25:15
7,Carpet,27,5,25,0.94,2023-07-23 09:30:30
8,Tile,23,4,27,0.81,2023-07-22 08:56:55
9,Carpet,22,5,31,0.83,2023-07-20 22:40:22
10,Carpet,38,5,30,1.1,2023-07-22 07:03:46
11,Tile,23,3,30,0.96,2023-07-21 06:42:49
12,Carpet,25,5,28,0.68,2023-07-20 15:27:05
13,Tile,27,3,19,1.15,2023-07-24 10:57:39
14,Tile,22,5,31,0.68,2023-07-21 16:51:01
15,Tile,25,5,23,0.95,2023-07-22 11:25:40
16,Tile,23,3,28,1.13,2023-07-20 17:39:07
17,Tile,20,4,32,0.67,2023-07-21 20:39:29
18,Concrete,26,4,18,1.14,2023-07-20 23:18:19
19,Concrete,23,2,26,1.41,2023-07-22 14:41:58
20,Tile,22,1,22,1.47,2023-07-21 03:02:54
21,Tile,20,1,18,1.08,2023-07-23 12:09:54
22,Concrete,20,4,31,0.78,2023-07-22 04:02:37
23,Wood,40,4,19,1.32,2023-07-23 11:55:29
24,Wood,23,2,24,1.17,2023-07-24 11:15:00
25,Tile,23,1,20,1.53,2023-07-23 23:43:06
26,Concrete,21,3,25,0.69,2023-07-20 10:15:34
27,Tile,20,3,28,0.78,2023-07-23 18:50:37
28,Tile,39,5,23,1.05,2023-07-22 01:59:02
29,Wood,20,4,32,0.67,2023-07-20 15:24:19
30,Tile,40,1,15,1.6,2023-07-24 04:35:22
31,Tile,28,3,21,1.08,2023-07-23 23:19:15
32,Wood,21,4,32,0.68,2023-07-20 19:42:10
33,Wood,20,4,32,0.68,2023-07-24 10:09:22
34,Tile,40,3,19,1.53,2023-07-22 18:24:51
35,Carpet,20,5,32,0.69,2023-07-20 14:14:51
36,Carpet,35,4,22,1.21,2023-07-21 03:19:02
37,Tile,33,2,22,1.55,2023-07-23 02:32:57
38,Wood,23,4,25,0.87,2023-07-23 05:08:17
39,Wood,20,1,31,0.68,2023-07-20 14:00:12
40,Carpet,24,4,23,0.91,2023-07-21 08:06:58
41,Tile,20,1,22,0.95,2023-07-21 01:19:41
42,Carpet,25,2,20,1.43,2023-07-22 23:57:25
43,Tile,39,5,21,1.34,2023-07-23 13:32:15
44,Tile,29,2,15,1.29,2023-07-23 23:29:33
45,Wood,20,3,28,0.68,2023-07-21 05:17:08
46,Carpet,28,2,24,1.26,2023-07-22 12:40:10
47,Tile,32,4,27,1.19,2023-07-23 15:14:55
48,Tile,31,2,18,1.35,2023-07-24 07:00:48
49,Tile,29,3,26,1.11,2023-07-21 05:35:36
50,Tile,30,3,17,1.32,2023-07-20 15:28:10
51,Tile,24,3,24,0.95,2023-07-22 04:28:16
52,Wood,28,3,27,0.87,2023-07-21 15:32:46
53,Carpet,21,5,30,0.69,2023-07-21 14:20:56
54,Wood,20,4,32,0.71,2023-07-23 07:34:52
55,Carpet,24,2,22,1.26,2023-07-22 23:43:29
56,Carpet,21,5,30,0.76,2023-07-23 20:16:20
57,Carpet,26,4,24,0.99,2023-07-22 15:41:48
58,Tile,31,5,31,0.82,2023-07-21 09:45:05
59,Carpet,34,3,24,1.38,2023-07-20 11:46:38
60,Tile,21,5,30,0.74,2023-07-24 06:44:26
61,Carpet,25,3,21,1.06,2023-07-21 16:26:16
62,Wood,23,3,32,0.81,2023-07-22 05:02:40
63,Tile,32,2,18,1.1,2023-07-20 12:31:46
64,Tile,29,3,19,1.14,2023-07-22 08:57:37
65,Tile,34,5,26,0.95,2023-07-22 03:10:10
66,Tile,35,2,16,1.58,2023-07-22 16:06:43
67,Tile,22,3,25,0.98,2023-07-23 22:09:29
68,Carpet,37,5,25,1.3,2023-07-21 13:38:45
69,Tile,27,3,27,0.86,2023-07-21 03:42:09
70,Tile,20,2,23,0.75,2023-07-20 14:52:06
71,Wood,40,4,18,1.51,2023-07-21 06:10:35
72,Wood,40,2,15,1.58,2023-07-23 19:26:09
73,Carpet,38,3,19,1.46,2023-07-20 13:55:09
74,Wood,21,2,22,0.68,2023-07-20 10:00:55
75,Tile,26,4,25,1.1,2023-07-20 19:58:04
76,Wood,28,2,30,1.37,2023-07-21 22:33:55
77,Wood,20,5,32,0.67,2023-07-24 11:15:00
78,Tile,20,3,26,0.72,2023-07-22 00:31:40
79,Carpet,24,4,20,1.21,2023-07-22 11:22:27
80,Tile,21,4,29,0.71,2023-07-20 11:44:34
81,Tile,33,2,16,1.18,2023-07-20 13:36:56
82,Tile,39,3,17,1.12,2023-07-20 12:28:48
83,Wood,32,3,18,1.13,2023-07-23 01:15:06
84,Tile,20,5,32,0.7,2023-07-24 05:13:06
85,Wood,22,5,32,0.7,2023-07-24 06:16:40
86,Wood,21,2,26,1.12,2023-07-23 17:49:39
87,Carpet,23,5,30,0.73,2023-07-21 06:19:21
88,Wood,21,2,23,0.7,2023-07-20 10:37:23
89,Wood,37,2,17,1.45,2023-07-21 14:23:19
90,Wood,32,1,15,1.2,2023-07-20 20:42:41
91,Tile,22,3,25,1.1,2023-07-24 02:57:21
92,Tile,24,3,25,1.12,2023-07-24 00:55:45
93,Wood,20,2,27,0.9,2023-07-24 05:00:02
94,Wood,23,3,30,0.81,2023-07-21 22:37:42
95,Carpet,27,4,27,1.27,2023-07-24 11:15:00
96,Carpet,23,4,29,0.77,2023-07-21 03:04:22
97,Tile,25,1,21,1.29,2023-07-20 18:11:58
98,Tile,21,5,30,0.68,2023-07-21 00:05:55
99,Wood,22,2,17,1.06,2023-07-21 22:00:14
100,Carpet,20,5,31,0.69,2023-07-23 11:07:06
101,Tile,20,4,31,0.69,2023-07-23 01:58:53
102,Concrete,32,5,30,1.28,2023-07-23 10:35:36
103,Wood,40,4,19,1.43,2023-07-20 20:14:16
104,Carpet,20,2,23,0.7,2023-07-20 09:40:49
105,Tile,23,1,24,1.52,2023-07-23 16:54:34
106,Tile,20,3,30,0.71,2023-07-21 20:24:07
107,Tile,22,5,30,0.73,2023-07-21 01:47:24
108,Concrete,27,4,26,1.17,2023-07-22 20:29:32
109,Carpet,38,2,16,1.46,2023-07-20 11:37:27
110,Wood,20,5,31,0.68,2023-07-20 19:55:51
111,Tile,32,2,17,1.5,2023-07-23 16:36:44
112,Carpet,28,3,20,1.09,2023-07-22 03:49:31
113,Carpet,20,4,31,0.69,2023-07-21 16:31:52
114,Wood,26,4,25,1.02,2023-07-23 10:44:15
115,Wood,23,2,28,1.46,2023-07-22 20:30:01
116,Carpet,23,1,18,1.47,2023-07-24 08:36:24
117,Wood,30,5,29,0.88,2023-07-23 11:31:51
118,Carpet,39,4,22,1.37,2023-07-21 20:53:53
119,Tile,32,1,15,1.41,2023-07-20 11:35:28
120,Tile,28,4,29,1.25,2023-07-22 20:12:32
