customer_id,age,gender,household_size,annual_income,cleaning_frequency,willingness_to_adopt_robotics,preferred_features,customer_satisfaction
0,31,Female,2,75934,Twice a week,Medium,UV-C Sterilization,4.6
1,22,Female,1,28000,Twice a week,High,Voice Control,5.0
2,40,Female,1,28000,Weekly,Low,App Connectivity,2.7
3,32,Female,1,66210,Every few days,High,Smart Home Integration,3.7
4,41,Female,2,61485,Twice a week,Medium,Auto Scheduling,2.9
5,70,Female,2,72232,Daily,High,Mapping & Navigation,4.0
6,45,Male,1,48154,Every few days,Medium,UV-C Sterilization,3.1
7,22,Male,1,89741,Every few days,Low,Automatic Software Update,4.2
8,40,Female,3,28000,Weekly,Low,Automatic Software Update,4.8
9,64,Female,3,28000,Daily,High,Automatic Software Update,3.3
10,22,Male,1,48431,Daily,High,Noise Levels,4.2
11,22,Male,1,74780,Weekly,Low,UV-C Sterilization,3.9
12,33,Female,1,28000,Every few days,High,Automatic Software Update,2.8
13,36,Male,1,150000,Twice a week,Low,Mapping & Navigation,5.0
14,38,Male,1,65836,Twice a week,Low,Pet Hair Removal,4.3
15,61,Male,1,28819,Daily,High,Allergen Filtration,4.2
16,33,Female,1,150000,Weekly,High,Allergen Filtration,4.1
17,70,Female,4,28000,Twice a week,High,Noise Levels,3.9
18,22,Female,1,150000,Every few days,High,Voice Control,5.0
19,22,Female,4,150000,Twice a week,High,Smart Home Integration,3.7
20,63,Male,5,71573,Twice a week,Medium,Auto Scheduling,2.6
21,61,Female,3,46111,Every few days,Low,Allergen Filtration,3.1
22,41,Female,3,95188,Weekly,High,Automatic Software Update,2.9
23,22,Female,2,28000,Twice a week,High,Allergen Filtration,2.8
24,46,Female,3,28000,Weekly,High,Allergen Filtration,4.6
25,41,Female,1,101357,Twice a week,Medium,Pet Hair Removal,4.5
26,49,Female,5,129116,Every few days,High,Pet Hair Removal,3.8
27,22,Female,1,112046,Daily,Medium,Self-charging,3.3
28,22,Female,5,45296,Daily,Medium,Automatic Software Update,3.4
29,27,Female,2,37400,Twice a week,Medium,Pet Hair Removal,2.5
30,39,Female,2,28000,Daily,High,Voice Control,3.9
31,22,Male,1,97722,Twice a week,Low,Self-charging,5.0
32,35,Male,2,66268,Every few days,Low,Smart Home Integration,5.0
33,22,Male,1,56616,Twice a week,High,Voice Control,2.8
34,30,Female,1,121277,Weekly,Medium,UV-C Sterilization,2.6
35,22,Male,1,93898,Every few days,High,Voice Control,3.6
36,49,Female,2,28000,Daily,Low,Noise Levels,3.2
37,66,Female,1,28000,Every few days,High,Self-charging,4.4
38,51,Female,1,78527,Every few days,Low,Allergen Filtration,4.8
39,25,Male,1,103017,Twice a week,Low,Self-charging,3.0
40,22,Female,1,150000,Weekly,High,Smart Home Integration,4.1
41,22,Female,1,55282,Daily,Medium,Auto Scheduling,5.0
42,43,Male,2,28000,Daily,Medium,Automatic Software Update,4.5
43,22,Female,1,28000,Weekly,High,Automatic Software Update,3.9
44,22,Female,1,107108,Every few days,Medium,Automatic Software Update,3.9
45,32,Female,1,93572,Twice a week,Medium,UV-C Sterilization,5.0
46,30,Male,1,28000,Twice a week,High,Pet Hair Removal,4.8
